Date,Case,Death,CaseAge0to17,CaseAge18to40,CaseAge41to65,CaseAgeOver65,CaseAgeUnknown,CaseSexMale,CaseSexFemale,CaseSexOther,CaseSexUnknown,EverHospital,CaseRaceAmIndian,CaseRaceAsian,CaseRaceBlack,CaseRaceHispanic,CasePacificIslander,CaseRaceWhite,CaseRaceOther,CaseRaceUnknown,DeathRaceAmIndian,DeathRaceAsian,DeathRaceBlack,DeathRaceHispanic,DeathPacificIslander,DeathRaceWhite,DeathRaceOther,DeathRaceUnknown,CumCaseTrue,CumCase,CaseIncreaseRate,CumDeath,DeathIncreaseRate,DeathRate
3/4/20,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,0,,0
3/5/20,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,66.7,0,,0
3/6/20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,0,0,,0
3/7/20,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,10,0,,0
3/8/20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,0,0,,0
3/9/20,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,18.2,0,,0
3/10/20,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,7.7,0,,0
3/11/20,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,42.9,1,,5
3/12/20,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,15,1,0,4.3
3/13/20,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,31,31,34.8,1,0,3.2
3/14/20,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,35.5,1,0,2.4
3/15/20,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,58,58,38.1,1,0,1.7
3/16/20,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83,43.1,1,0,1.2
3/17/20,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,133,133,60.2,1,0,0.8
3/18/20,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,179,179,34.6,1,0,0.6
3/19/20,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,219,219,22.3,2,100,0.9
3/20/20,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,280,280,27.9,2,0,0.7
3/21/20,59,2,,,,,,,,,,,,,,,,,,,,,,,,,,,351,339,21.1,4,100,1.2
3/22/20,71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,409,410,20.9,5,25,1.2
3/23/20,128,2,,,,,,,,,,,,,,,,,,,,,,,,,,,536,538,31.2,7,40,1.3
3/24/20,128,2,,,,,,,,,,,,,,,,,,,,,,,,,,,662,666,23.8,9,28.6,1.4
3/25/20,138,3,,,,,,,,,,,,,,,,,,,,,,,,,,,799,804,20.7,12,33.3,1.5
3/26/20,421,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1216,1225,52.4,21,75,1.7
3/27/20,257,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,1482,21,26,23.8,1.8
3/28/20,344,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1804,1826,23.2,32,23.1,1.8
3/29/20,332,5,,,,,,,,,,,,,,,,,,,,,,,,,,,2136,2158,18.2,37,15.6,1.7
3/30/20,342,7,,,,,,,,,,,,,,,,,,,,,,,,,,,2474,2500,15.8,44,18.9,1.8
3/31/20,548,10,,,,,,,,,,,,,,,,,,,,,,,,,,,3011,3048,21.9,54,22.7,1.8
4/1/20,513,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3518,3561,16.8,65,20.4,1.8
4/2/20,534,13,36,1385,1630,787,31,,,,,879,,,,,,,,,,,,,,,,,4045,4095,15,78,20,1.9
4/3/20,521,11,40,1538,1859,907,32,,,,,1018,,,,,,,,,,,,,,,,,4566,4616,12.7,89,14.1,1.9
4/4/20,771,28,48,1785,2160,1050,26,2641,2277,,151,1168,,,,,,,,,,,,,,,,,5277,5387,16.7,117,31.5,2.2
4/5/20,663,15,57,1989,2451,1156,31,2899,2547,,238,1257,,,,,,,,,,,,,,,,,5940,6050,12.3,132,12.8,2.2
4/6/20,420,15,59,2072,2650,1278,30,3082,2763,,244,1366,,,,,,,,,,,,,,,,,6360,6470,6.9,147,11.4,2.3
4/7/20,550,22,73,2246,2892,1364,33,3313,2998,,297,1510,,316,283,735,,870,693,3711,,,,,,,,,6910,7020,8.5,169,15,2.4
4/8/20,620,29,80,2409,3170,1499,36,3569,3292,,333,1714,,334,301,807,,872,747,4133,,,,,,,,,7530,7640,8.8,198,17.2,2.6
4/9/20,425,25,81,2491,3363,1608,31,3792,3514,,268,1894,,463,384,1309,,1161,707,3550,,32,23,46,,46,6,59,7955,8065,5.6,223,12.6,2.8
4/10/20,475,18,84,2617,3561,1730,28,4013,3761,2,237,2043,,526,429,1621,,1292,655,3497,,38,26,51,,54,7,52,8430,8540,5.9,241,8.1,2.8
4/11/20,456,25,91,2726,3744,1848,31,4216,3998,2,244,2172,,589,460,1869,,1399,661,3462,,40,27,64,,64,6,49,8873,8996,5.3,266,10.4,3
4/12/20,323,31,95,2802,3867,1944,35,4402,4198,2,141,2246,,632,478,2025,,1445,670,3493,,46,33,79,,77,5,41,9192,9319,3.6,297,11.7,3.2
4/13/20,239,25,97,2851,3949,3032,37,4508,4320,2,136,2354,,673,504,2213,,1524,681,3371,,47,37,87,,87,4,41,9420,9558,2.6,322,8.4,3.4
4/14/20,670,40,99,2988,4211,2191,44,4774,4608,2,148,2517,,713,539,2416,,1610,747,3508,,49,46,98,,93,6,45,10047,10228,7,362,12.4,3.5
4/15/20,472,42,103,3063,4421,2318,49,4807,4993,3,151,2704,,759,563,2634,,1732,766,3503,,57,50,112,,103,8,43,10496,10700,4.6,404,11.6,3.8
4/16/20,399,55,111,3153,4564,2430,33,5179,4967,3,142,2847,,783,590,2818,,1807,766,3527,,67,64,130,,119,10,33,10844,11099,3.7,459,13.6,4.1
4/17/20,567,40,117,3278,4776,2587,29,5239,5408,3,137,3014,,844,630,3066,,1903,790,3554,,75,69,146,,123,12,36,11391,11666,5.1,499,8.7,4.3
4/18/20,642,81,123,3431,5044,2759,30,5551,5698,3,135,3280,,900,669,3353,,1982,817,3666,,84,79,177,,143,15,38,12021,12308,5.5,499,16.2,4.1
4/19/20,334,24,127,3503,5154,2869,24,5841,5969,3,137,3387,,915,687,3402,,2022,884,3767,,91,83,189,,152,13,31,12341,12642,2.7,604,4.8,4.8
4/20/20,1491,17,194,4113,5761,3045,31,6561,6431,3,149,3465,,953,720,3597,,2071,899,4904,,94,87,194,,155,14,31,13816,14133,11.8,621,2.8,4.4
4/21/20,1400,46,240,4593,6333,3229,31,7192,7085,3,147,3639,,1028,769,3872,,2195,1011,5552,,105,93,207,,162,15,32,15140,15533,9.9,667,7.4,4.3
4/22/20,1318,66,298,5059,6886,3410,44,7706,7827,5,159,3902,,1078,794,4227,,2293,972,6333,,118,100,237,,176,15,31,16435,16851,8.5,733,9.9,4.3
4/23/20,1081,68,335,5435,7278,3658,50,8314,8281,5,156,4053,,1124,826,4433,,2374,984,7015,,128,107,267,,197,17,26,17508,16851,6.4,801,9.3,4.8
4/24/20,1035,52,366,5751,7659,3878,52,8744,8799,5,158,4211,12,1155,844,4634,157,2328,838,7638,1,138,113,282,11,218,8,21,18517,17932,6.1,853,6.5,4.8
4/25/20,607,48,378,5914,7878,4036,62,9008,9083,5,172,4319,12,1194,869,4828,160,2479,878,7848,1,149,115,301,11,233,10,17,19107,18967,3.4,901,5.6,4.8
4/26/20,440,18,383,6021,8053,4157,52,9220,9272,5,169,4380,12,1214,879,4908,163,2509,912,8069,1,152,117,311,11,235,10,18,19528,19574,2.3,919,2,4.7
4/27/20,900,29,,,,,,,,,,,,,,,,,,,,,,,,,,,20417,20014,4.6,948,3.2,4.7
4/28/20,597,59,,,,,,,,,,,,,,,,,,,,,,,,,,,20976,20914,3,1007,6.2,4.8
4/29/20,1541,56,,,,,,,,,,,,,,,,,,,,,,,,,,,20976,21511,7.4,1063,5.6,4.9
4/30/20,733,55,,,,,,,,,,,,,,,,,,,,,,,,,,,22485,23052,3.4,1118,5.2,4.8
5/1/20,1065,62,,,,,,,,,,,,,,,,,,,,,,,,,,,23182,23785,4.6,1180,5.5,5
5/2/20,691,38,,,,,,,,,,,,,,,,,,,,,,,,,,,24215,24850,2.9,1218,3.2,4.9
5/3/20,781,21,,,,,,,,,,,,,,,,,,,,,,,,,,,25662,25541,3.1,1239,1.7,4.9
5/4/20,568,28,,,,,,,,,,,,,,,,,,,,,,,,,,,26217,26322,2.2,1267,2.3,4.8
5/5/20,1638,58,,,,,,,,,,,,,,,,,,,,,,,,,,,27815,26890,6.2,1325,4.6,4.9
5/6/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
