City ,Lat,Long ,Case413,Case412
Agoura Hills,,,20,20
Alhambra,,,34,33
Arcadia ,,,22,22
Artesia,,,5,5
Avalon,,,0,0
Azusa,,,20,20
Baldwin Park,,,28,25
Bell,,,41,37
Bell Gardens,,,33,28
Bellflower,,,50,50
Beverly Hills,,,74,74
Bradbury,,,0,0
Burbank,,,103,102
Calabasas,,,25,23
Carson,,,121,118
Cerritos,,,33,32
Claremont,,,12,12
Commerce,,,0,0
Compton,,,65,64
Covina,,,46,43
Cudahy,,,21,21
Culver City ,,,32,31
Diamond Bar,,,20,20
Downey,,,102,101
Duarte,,,13,10
El Monte,,,28,28
El Segundo,,,11,11
Gardena,,,74,74
Glendale,,,255,248
Glendora,,,21,21
Hawaiian Gardens,,,0,0
Hawthorne,,,74,70
Hermosa Beach ,,,17,17
Hidden Hills,,,0,0
Huntington Park,,,43,42
City of Industry,,,0,0
Inglewood,,,121,116
Irwindale,,,0,0
La Canada Flintridge,,,22,20
La Habra Heights,,,0,0
La Mirada,,,22,21
La Puente,,,19,20
La Verne,,,9,8
Lakewood,,,42,41
Lancaster,,,87,87
Lawndale,,,27,25
Lomita,,,22,21
Lynwood,,,73,68
Malibu,,,16,16
Manhattan Beach,,,54,54
Maywood,,,26,26
Monrovia,,,14,13
Montebello,,,53,53
Monterey Park,,,33,31
Norwalk,,,79,76
Palmdale,,,102,99
Palos Verdes Estates,,,36,35
Paramount,,,39,38
Pico Rivera,,,60,57
Pomona,34.055103,-117.749992,49,48
Rancho Palos Verdes,,,42,39
Redondo Beach,,,85,84
Rolling Hills,,,0,0
Rolling Hills Estates,,,11,11
Rosemead,,,15,15
San Dimas,,,18,18
San Fernando,,,22,22
San Gabriel,,,14,13
San Marino,,,6,6
Santa Clarita,,,150,143
Santa Fe Springs,,,6,6
Santa Monica,34.024212,-118.496475,92,92
Sierra Madre,,,0,0
Signal Hill,,,0,0
South El Monte,,,0,0
South Gate,,,98,96
South Pasadena,,,17,15
Temple City,,,12,12
Torrance,,,145,143
Vernon,,,0,0
Walnut,,,13,13
West Covina,,,40,39
West Hollywood,,,102,102
Westlake Village,34.1458389,-118.8056474,,6
Whittier,,,52,51
Los Angeles,34.052235,-118.243683,4205,4092
Adams-Normandie,,,15,
Alsace,,,6,
Angeles National Forest,,,0,
Angelino Heights,,,0,
Arleta,,,26,
Atwater Village,,,9,
Baldwin Hills,,,33,
Bel Air,,,21,
Beverly Crest,,,26,
Beverlywood,,,20,
Boyle Heights,,,58,
Brentwood,,,54,
Brookside,,,0,
Cadillac-Corning,,,6,
Canoga Park ,,,79,
Carthay,,,30,
Central,,,41,
Century City,,,27,
Century Palms/Cove,,,30,
Chatsworth,,,37,
Cheviot Hills,,,11,
Chinatown,,,0,
Cloverdale/Cochran,,,12,
Country Club Park,,,25,
Crenshaw District,,,17,
Crestview,,,43,
Del Rey,,,33,
Downtown,,,27,
Eagle Rock,,,36,
East Hollywood,,,48,
Echo Park,,,9,
El Sereno,,,37,
Elysian Park,,,5,
Elysian Valley,,,8,
Encino,,,52,
Exposition,,,0,
Exposition Park,,,49,
Faircrest Heights,,,0,
Figueroa Park Square,,,7,
Florence-Firestone,,,47,
Glassell Park,,,57,
Gramercy Place,,,10,
